站点,站点详情
1. 二环北路公交车场,二环北路南侧
2. 黄河公园,济泺路西侧
3. 泺口,济泺路西侧，祥云阁老酒坊门前
4. 济泺路泺口南路,济泺路西侧，黄河医院门口
5. 公交维修公司,"济泺路西侧,济南园林机械厂南邻"
6. 大坝,济泺路西侧，齐鲁名车港前
7. 泺口服装城①,济泺路西侧，四季红批发市场门前
8. 动物园③,济泺路西侧，动物园公交车场出口南邻
9. 工人新村北村①,"济泺路西侧,与师范路交叉口北行"
10. 工人新村南村②,济泺路西侧，绿地农贸市场对面
11. 长途汽车站,济泺路西侧，济南长途汽车总站北临
12. 制革街①,济泺路西侧163号，四建集团门口北，西2
13. 成丰桥①,济泺路西侧，天桥区文化馆前
14. 天桥南,纬二路西侧，丽山大厦对面
15. 大观园,纬二路西侧，经四路路口南，大观园商场前
16. 纬二路经七路,"纬二路西侧,与经七路交叉口北行"
17. 纬二路经八路,"纬二路西侧,与经八路交叉口北行"
18. 八一立交桥南①,英雄山路西侧，经十一路路口南，市中区政务中心对面
19. 英雄山,英雄山路西侧，红十字会医院门口
20. 二七新村,英雄山路西侧，中石化加油站北
21. 英雄山路六里山南路,英雄山路西侧，百果香炒货店南邻
22. 七里山南村,英雄山路西侧，中国联通大楼对面
23. 四季花园,英雄山路西侧，佳驿酒店门口
24. 英雄山路七里山路,英雄山路西侧，七里山路路口南，威海商业银行（英雄山路127号）附近
25. 西八公交车场,英雄山路西侧，农业银行门口
26. 东方红桥,英雄山路西侧，建设银行门口北
27. 十六里河街道办事处,英雄山路西侧，铁路检察院南邻
28. 英雄山立交桥北,英雄山路英雄山立交桥北，西侧
29. 英雄山立交桥南,英雄山路西侧，舜缘国际文化城
30. 南苑小区,英雄山路西侧，铁路南苑门口南邻
31. 分水岭,英雄山路西侧
32. 望岳路分水岭路,望岳路辅路路西
33. 分水岭南,英雄山路西侧，绿地新里城北
